Name,Brand,Model,Inches,Price,Price_Category,DisplayType,Resolution,Colour,Width,Height,PPI,Original_Brand
akai aklt32s-dfl9w 32 inch (81 cm) led hd-ready tv,Akai,aklt32s-dfl9w 3,32,24990,Affordable,HD-Ready,1366x768,Black,1366,768,48.97,akai
samsung qa50q60aak 50 inch (127 cm) qled 4k tv,Samsung,qa50q60aak 5,50,64990,High-end,4K,3840x2160,Black,3840,2160,88.12,samsung
croma crel7368 55 inch (139 cm) led 4k tv,Croma,crel7368 5,55,38990,Mid-range,4K,3840x2160,Black,3840,2160,80.11,croma
lg oled65c9pta 65 inch (165 cm) oled 4k tv,Lg,oled65c9pta 6,65,262999,Luxury,4K,3840x2160,Black,3840,2160,67.78,lg
tcl s series 32s5403a 32 inch (81 cm) led hd-ready tv,Tcl,s series 32s5403a 3,32,16490,Affordable,HD-Ready,1366x768,Black,1366,768,48.97,tcl
samsung ua55au7700k 55 inch (139 cm) led 4k tv,Samsung,ua55au7700k 5,55,56990,Mid-range,4K,3840x2160,Other,3840,2160,80.11,samsung
samsung qa55q7fnak 55 inch (139 cm) qled 4k tv,Samsung,qa55q7fnak 5,55,109999,Premium,4K,3840x2160,Black,3840,2160,80.11,samsung
samsung ua65nu7470u 65 inch (165 cm) led 4k tv,Samsung,ua65nu7470u 6,65,159500,Premium,4K,3840x2160,Black,3840,2160,67.78,samsung
lg 50uq8040psb 50 inch (127 cm) led 4k tv,Lg,50uq8040psb 5,50,47990,Mid-range,4K,3840x2160,Black,3840,2160,88.12,lg
lloyd 43fs550c 43 inch (109 cm) led full hd tv,Lloyd,43fs550c 4,43,28990,Affordable,Full HD,1920x1080,Black,1920,1080,51.23,lloyd
samsung qa55qn95bak 55 inch (139 cm) neo qled 4k tv,Samsung,qa55qn95bak 5,55,214990,Luxury,QLED 4K,3840x2160,Other,3840,2160,80.11,samsung
samsung qa65qn95bak 65 inch (165 cm) neo qled 4k tv,Samsung,qa65qn95bak 6,65,289990,Luxury,QLED 4K,3840x2160,Other,3840,2160,67.78,samsung
croma crel7367 50 inch (127 cm) led 4k tv,Croma,crel7367 5,50,31990,Mid-range,4K,3840x2160,Black,3840,2160,88.12,croma
samsung ua43t5500ak 43 inch (109 cm) led full hd tv,Samsung,ua43t5500ak 4,43,37990,Mid-range,Full HD,1920x1080,Black,1920,1080,51.23,samsung
onida nexg 75uig 75 inch (190 cm) led 4k tv,Onida,nexg 75uig 7,75,78999,High-end,4K,3840x2160,Black,3840,2160,58.74,onida
samsung qa55q80bak 55 inch (139 cm) qled 4k tv,Samsung,qa55q80bak 5,55,135990,Premium,4K,3840x2160,Other,3840,2160,80.11,samsung
lg 32lm6360ptb 32 inch (81 cm) led hd-ready tv,Lg,32lm6360ptb 3,32,19999,Affordable,HD-Ready,1366x768,Black,1366,768,48.97,lg
samsung qa43q60aak 43 inch (109 cm) qled 4k tv,Samsung,qa43q60aak 4,43,47990,Mid-range,4K,3840x2160,Black,3840,2160,102.46,samsung
lg 75um7600pta 75 inch (190 cm) led 4k tv,Lg,75um7600pta 7,75,188999,Premium,4K,3840x2160,Black,3840,2160,58.74,lg
samsung qa65q70rak 65 inch (165 cm) qled 4k tv,Samsung,qa65q70rak 6,65,224999,Luxury,4K,3840x2160,Black,3840,2160,67.78,samsung
lg 55uq9000psd 55 inch (139 cm) led 4k tv,Lg,55uq9000psd 5,55,59990,Mid-range,4K,3840x2160,Grey,3840,2160,80.11,lg
lg 65nano83tpz 65 inch (165 cm) led 4k tv,Lg,65nano83tpz 6,65,99900,High-end,4K,3840x2160,Black,3840,2160,67.78,lg
lg 55nano83tpz 55 inch (139 cm) led 4k tv,Lg,55nano83tpz 5,55,73217,High-end,4K,3840x2160,Black,3840,2160,80.11,lg
samsung ua50au7700k 50 inch (127 cm) led 4k tv,Samsung,ua50au7700k 5,50,49490,Mid-range,4K,3840x2160,Other,3840,2160,88.12,samsung
samsung qa85qn900ck 85 inch (215 cm) neo qled 8k uhd tv,Samsung,qa85qn900ck 8,85,1224990,Luxury,QLED 8K UHD,7680x4320,Other,7680,4320,103.67,samsung
samsung qa50q60bak 50 inch (127 cm) qled 4k tv,Samsung,qa50q60bak 5,50,75990,High-end,4K,3840x2160,Black,3840,2160,88.12,samsung
samsung ua75nu8000k 75 inch (190 cm) led 4k tv,Samsung,ua75nu8000k 7,75,374990,Luxury,4K,3840x2160,Other,3840,2160,58.74,samsung
lg lx1 pose 48lx1qpsa 48 inch (121 cm) oled evo 4k tv,Lg,lx1 pose 48lx1qpsa 4,48,104990,Premium,EVO 4K,3840x2160,White,3840,2160,91.79,lg
samsung qa55q60bak 55 inch (139 cm) qled 4k tv,Samsung,qa55q60bak 5,55,90990,High-end,4K,3840x2160,Black,3840,2160,80.11,samsung
samsung ua43t5770au 43 inch (109 cm) led full hd tv,Samsung,ua43t5770au 4,43,38990,Mid-range,Full HD,1920x1080,Black,1920,1080,51.23,samsung
acer ar32gt2841hdfl 32 inch (81 cm) led hd-ready tv,Acer,ar32gt2841hdfl 3,32,13499,Affordable,HD-Ready,1366x768,Black,1366,768,48.97,acer
lg oled65c2psc 65 inch (165 cm) oled evo 4k tv,Lg,oled65c2psc 6,65,179990,Premium,EVO 4K,3840x2160,Black,3840,2160,67.78,lg
imee elite 32sfl 32 inch (81 cm) led hd-ready tv,Imee,elite 32sfl 3,32,11609,Affordable,HD-Ready,1366x768,White,1366,768,48.97,imee
sony bravia kd-85x85k 85 inch (215 cm) led 4k tv,Sony,bravia kd-85x85k 8,85,309990,Luxury,4K,3840x2160,Black,3840,2160,51.83,sony
lg oled55b2psa 55 inch (139 cm) oled 4k tv,Lg,oled55b2psa 5,55,114990,Premium,4K,3840x2160,Black,3840,2160,80.11,lg
bpl 32h-a4301 32 inch (81 cm) led hd-ready tv,Bpl,32h-a4301 3,32,13225,Affordable,HD-Ready,1366x768,Black,1366,768,48.97,bpl
haier le32k6200ga 32 inch (81 cm) led hd-ready tv,Haier,le32k6200ga 3,32,18490,Affordable,HD-Ready,1366x768,Black,1366,768,48.97,haier
samsung ua55au7500k 55 inch (139 cm) led 4k tv,Samsung,ua55au7500k 5,55,48990,Mid-range,4K,3840x2160,Other,3840,2160,80.11,samsung
lg 55un7190pta 55 inch (139 cm) led 4k tv,Lg,55un7190pta 5,55,70200,High-end,4K,3840x2160,Black,3840,2160,80.11,lg
lg oled65gxpta 65 inch (165 cm) oled 4k tv,Lg,oled65gxpta 6,65,209990,Luxury,4K,3840x2160,Black,3840,2160,67.78,lg
lg 65uk7500pta 65 inch (165 cm) led 4k tv,Lg,65uk7500pta 6,65,102060,Premium,4K,3840x2160,Grey,3840,2160,67.78,lg
iffalcon 55h82 55 inch (139 cm) qled 4k tv,Iffalcon,55h82 5,55,86490,High-end,4K,3840x2160,Black,3840,2160,80.11,iffalcon
samsung ua65bu8570u 65 inch (165 cm) led 4k tv,Samsung,ua65bu8570u 6,65,120990,Premium,4K,3840x2160,Black,3840,2160,67.78,samsung
samsung ua32t4900ak 32 inch (81 cm) led hd-ready tv,Samsung,ua32t4900ak 3,32,25490,Affordable,HD-Ready,1366x768,Black,1366,768,48.97,samsung
lloyd 32hs451c 32 inch (81 cm) led hd-ready tv,Lloyd,32hs451c 3,32,15950,Affordable,HD-Ready,1366x768,Black,1366,768,48.97,lloyd
samsung qa65q8cnak 65 inch (165 cm) qled 4k tv,Samsung,qa65q8cnak 6,65,469900,Luxury,4K,3840x2160,Black,3840,2160,67.78,samsung
t-series tx-24bis 24 inch (60 cm) led hd-ready tv,T-series,tx-24bis 2,24,6990,Budget,HD-Ready,1366x768,Black,1366,768,65.3,t-series
samsung ua75tu8000k 75 inch (190 cm) led 4k tv,Samsung,ua75tu8000k 7,75,174990,Premium,4K,3840x2160,Black,3840,2160,58.74,samsung
acer ar55gt2851udfl 55 inch (139 cm) led 4k tv,Acer,ar55gt2851udfl 5,55,37490,Mid-range,4K,3840x2160,Black,3840,2160,80.11,acer
haier l43fg 43 inch (109 cm) led 4k tv,Haier,l43fg 4,43,24990,Affordable,4K,3840x2160,Black,3840,2160,102.46,haier
samsung qa55s90cak 55 inch (139 cm) oled 4k tv,Samsung,qa55s90cak 5,55,144990,Premium,4K,3840x2160,Other,3840,2160,80.11,samsung
lg oled48c1ptz 48 inch (121 cm) oled 4k tv,Lg,oled48c1ptz 4,48,94990,High-end,4K,3840x2160,Black,3840,2160,91.79,lg
lg 55up7550ptz 55 inch (139 cm) led 4k tv,Lg,55up7550ptz 5,55,49990,Mid-range,4K,3840x2160,Black,3840,2160,80.11,lg
samsung qa55q8cnak 55 inch (139 cm) qled 4k tv,Samsung,qa55q8cnak 5,55,274900,Luxury,4K,3840x2160,Black,3840,2160,80.11,samsung
samsung qa65q60rak 65 inch (165 cm) qled 4k tv,Samsung,qa65q60rak 6,65,198599,Premium,4K,3840x2160,Black,3840,2160,67.78,samsung
lg 43ur7790psa 43 inch (109 cm) led 4k tv,Lg,43ur7790psa 4,43,42990,Mid-range,4K,3840x2160,Black,3840,2160,102.46,lg
haier 65e9 65 inch (165 cm) led 4k tv,Haier,65e9 6,65,70990,High-end,4K,3840x2160,Black,3840,2160,67.78,haier
samsung qa75qn800ck 75 inch (190 cm) neo qled 8k uhd tv,Samsung,qa75qn800ck 7,75,709990,Luxury,QLED 8K UHD,7680x4320,Other,7680,4320,117.49,samsung
haier le43a9000 43 inch (109 cm) lcd 4k tv,Haier,le43a9000 4,43,30990,Mid-range,4K,3840x2160,Black,3840,2160,102.46,haier
lg 65uq8040psb 65 inch (165 cm) led 4k tv,Lg,65uq8040psb 6,65,73990,High-end,4K,3840x2160,Black,3840,2160,67.78,lg
panasonic viera th-43jx660dx 43 inch (109 cm) led 4k tv,Panasonic,viera th-43jx660dx 4,43,41490,Mid-range,4K,3840x2160,Black,3840,2160,102.46,panasonic
lg oled65g2psa 65 inch (165 cm) oled evo 4k tv,Lg,oled65g2psa 6,65,219990,Luxury,EVO 4K,3840x2160,Black,3840,2160,67.78,lg
samsung ua32t4450ak 32 inch (81 cm) led hd-ready tv,Samsung,ua32t4450ak 3,32,22190,Affordable,HD-Ready,1366x768,"Black,Other",1366,768,48.97,samsung
samsung qa55qn85aak 55 inch (139 cm) qled 4k tv,Samsung,qa55qn85aak 5,55,89990,High-end,4K,3840x2160,Other,3840,2160,80.11,samsung
lg oled55b1ptz 55 inch (139 cm) oled 4k tv,Lg,oled55b1ptz 5,55,114990,Premium,4K,3840x2160,Black,3840,2160,80.11,lg
samsung qa65q60tak 65 inch (165 cm) qled 4k tv,Samsung,qa65q60tak 6,65,109990,Premium,4K,3840x2160,Black,3840,2160,67.78,samsung
aiwa magnifiq av32hdx1 32 inch (81 cm) led full hd tv,Aiwa,magnifiq av32hdx1 3,32,10790,Affordable,Full HD,1920x1080,Black,1920,1080,68.84,aiwa
lg 55nano80sqa 55 inch (139 cm) led 4k tv,Lg,55nano80sqa 5,55,64990,High-end,4K,3840x2160,Black,3840,2160,80.11,lg
hisense 75u80g 75 inch (190 cm) qled 8k uhd tv,Hisense,75u80g 7,75,349990,Luxury,8K UHD,7680x4320,Grey,7680,4320,117.49,hisense
samsung ua75au8000k 75 inch (190 cm) led 4k tv,Samsung,ua75au8000k 7,75,134990,Premium,4K,3840x2160,Black,3840,2160,58.74,samsung
samsung ua55mu6470u 55 inch (139 cm) led 4k tv,Samsung,ua55mu6470u 5,55,106990,Premium,4K,3840x2160,Black,3840,2160,80.11,samsung
toshiba 85z670mp 85 inch (215 cm) qled 4k tv,Toshiba,85z670mp 8,85,249999,Luxury,4K,3840x2160,Black,3840,2160,51.83,toshiba
haier l55fg 55 inch (139 cm) led 4k tv,Haier,l55fg 5,55,34990,Mid-range,4K,3840x2160,Black,3840,2160,80.11,haier
samsung ua70cu7700k 70 inch (177 cm) led 4k tv,Samsung,ua70cu7700k 7,70,108990,Premium,4K,3840x2160,Black,3840,2160,62.94,samsung
lloyd 75qx900d 75 inch (190 cm) led 4k tv,Lloyd,75qx900d 7,75,114999,Premium,4K,3840x2160,Black,3840,2160,58.74,lloyd
lloyd 32hs551d 32 inch (81 cm) led hd-ready tv,Lloyd,32hs551d 3,32,16999,Affordable,HD-Ready,1366x768,Black,1366,768,48.97,lloyd
lg 65uq9000psd 65 inch (165 cm) led 4k tv,Lg,65uq9000psd 6,65,84990,High-end,4K,3840x2160,Black,3840,2160,67.78,lg
samsung qa65q70bak 65 inch (165 cm) qled 4k tv,Samsung,qa65q70bak 6,65,179990,Premium,4K,3840x2160,Black,3840,2160,67.78,samsung
samsung qa65q80bak 65 inch (165 cm) qled 4k tv,Samsung,qa65q80bak 6,65,207990,Luxury,4K,3840x2160,Other,3840,2160,67.78,samsung
panasonic th-32ms670dx 32 inch (81 cm) led hd-ready tv,Panasonic,th-32ms670dx 3,32,17780,Affordable,HD-Ready,1366x768,Black,1366,768,48.97,panasonic
lloyd 43ux900d 43 inch (109 cm) led 4k tv,Lloyd,43ux900d 4,43,34889,Mid-range,4K,3840x2160,Black,3840,2160,102.46,lloyd
samsung qa65s90cak 65 inch (165 cm) oled 4k tv,Samsung,qa65s90cak 6,65,229990,Luxury,4K,3840x2160,Other,3840,2160,67.78,samsung
samsung ua43cu7700k 43 inch (109 cm) led 4k tv,Samsung,ua43cu7700k 4,43,47400,Mid-range,4K,3840x2160,Black,3840,2160,102.46,samsung
bpl 55u-a4310 55 inch (139 cm) led 4k tv,Bpl,55u-a4310 5,55,36490,Mid-range,4K,3840x2160,Black,3840,2160,80.11,bpl
lg oled65b2psa 65 inch (165 cm) oled 4k tv,Lg,oled65b2psa 6,65,199990,Premium,4K,3840x2160,Black,3840,2160,67.78,lg
imee supreme 32sflcs 32 inch (81 cm) led hd-ready tv,Imee,supreme 32sflcs 3,32,14299,Affordable,HD-Ready,1366x768,Other,1366,768,48.97,imee
haier le65k6600hqga 65 inch (165 cm) led 4k tv,Haier,le65k6600hqga 6,65,108990,Premium,4K,3840x2160,Black,3840,2160,67.78,haier
