Name,Brand,Model,Inches,Price,DisplayType,Resolution,Colour
samsung ua32t4340ak 32 inch (81 cm) led hd-ready tv,samsung,ua32t4340ak 3,32,17490,HD-Ready,1366x768,Black
xiaomi smart tv x series 50 inch (127 cm) led 4k tv,xiaomi,smart tv x series 5,50,34999,4K,3840x2160,Black
xiaomi x series l43m8-a2in 43 inch (109 cm) led 4k tv,xiaomi,x series l43m8-a2in 4,43,28999,4K,3840x2160,Black
xiaomi x series l55m8-a2in 55 inch (139 cm) led 4k tv,xiaomi,x series l55m8-a2in 5,55,36999,4K,3840x2160,Black
xiaomi smart tv x series 55 inch (139 cm) led 4k tv,xiaomi,smart tv x series 5,55,39999,4K,3840x2160,Black
thomson fa series 40rt1033 40 inch (101 cm) led full hd tv,thomson,fa series 40rt1033 4,40,14999,Full HD,1920x1080,Black
thomson 40path7777 40 inch (101 cm) led full hd tv,thomson,40path7777 4,40,16999,Full HD,1920x1080,Black
thomson 42path2121 42 inch (106 cm) led full hd tv,thomson,42path2121 4,42,15999,Full HD,1920x1080,Black
thomson 43path0009 43 inch (109 cm) led full hd tv,thomson,43path0009 4,43,17999,Full HD,1920x1080,Black
xiaomi x series l65m8-a2in 65 inch (165 cm) led 4k tv,xiaomi,x series l65m8-a2in 6,65,59999,4K,3840x2160,Black
xiaomi mi tv 4a horizon 32 inch (81 cm) led hd-ready tv,xiaomi,mi tv 4a horizon 3,32,16300,HD-Ready,1366x768,Black
xiaomi mi tv 4a horizon 43 inch (109 cm) led full hd tv,xiaomi,mi tv 4a horizon 4,43,31999,Full HD,1920x1080,Black
thomson 40m4099 40 inch (101 cm) led full hd tv,thomson,40m4099 4,40,19999,Full HD,1920x1080,Black
thomson 24tm2490 24 inch (60 cm) led hd-ready tv,thomson,24tm2490 2,24,6299,HD-Ready,1366x768,Black
thomson 32tm3290 32 inch (81 cm) led hd-ready tv,thomson,32tm3290 3,32,7999,HD-Ready,1366x768,Black
kodak 9xpro 439x5081 43 inch (109 cm) led full hd tv,kodak,9xpro 439x5081 4,43,16999,Full HD,1920x1080,70 x 110 mm
kodak 40fhdx7xpro 40 inch (101 cm) led full hd tv,kodak,40fhdx7xpro 4,40,15999,Full HD,1920x1080,Black
kodak 42fhdx7xpro 42 inch (106 cm) led full hd tv,kodak,42fhdx7xpro 4,42,15999,Full HD,1920x1080,Black
iffalcon iff65u62 65 inch (165 cm) led 4k tv,iffalcon,iff65u62 6,65,39999,4K,3840x2160,Black
samsung crystal vision ua55cue70akl 55 inch (139 cm) led 4k tv,samsung,crystal vision ua55cue70akl 5,55,46990,4K,3840x2160,Other
samsung ua55aue65ak 55 inch (139 cm) led 4k tv,samsung,ua55aue65ak 5,55,42990,4K,3840x2160,Black
samsung crystal vision ua65cue70akl 65 inch (165 cm) led 4k tv,samsung,crystal vision ua65cue70akl 6,65,71990,4K,3840x2160,Other
iffalcon iff40s53 40 inch (101 cm) led full hd tv,iffalcon,iff40s53 4,40,14990,Full HD,1920x1080,Black
kodak 32hdx7xpro 32 inch (81 cm) led hd-ready tv,kodak,32hdx7xpro 3,32,9499,HD-Ready,1366x768,Black
samsung ua65aue70ak 65 inch (165 cm) led 4k tv,samsung,ua65aue70ak 6,65,84490,4K,3840x2160,Black
samsung ua58aue70ak 58 inch (147 cm) led 4k tv,samsung,ua58aue70ak 5,58,49990,4K,3840x2160,Black
samsung ua50aue70ak 50 inch (127 cm) led 4k tv,samsung,ua50aue70ak 5,50,44490,4K,3840x2160,Black
kodak 9xpro 429x5071 42 inch (106 cm) led full hd tv,kodak,9xpro 429x5071 4,42,15499,Full HD,1920x1080,Black
acer i series ar32ar2841hdfl 32 inch (81 cm) led hd-ready tv,acer,i series ar32ar2841hdfl 3,32,17999,HD-Ready,1366x768,Black
acer i series ar50ar2851udfl 50 inch (127 cm) led 4k tv,acer,i series ar50ar2851udfl 5,50,28999,4K,3840x2160,Black
acer i series ar55ar2851udfl 55 inch (139 cm) led 4k tv,acer,i series ar55ar2851udfl 5,55,35999,4K,3840x2160,Black
realme smart tv neo 32 inch (81 cm) led hd-ready tv,realme,smart tv neo 3,32,13999,HD-Ready,1366x768,Black
xiaomi a series l32m8-5ain 32 inch (81 cm) led hd-ready tv,xiaomi,a series l32m8-5ain 3,32,12499,HD-Ready,1366x768,Black
thomson oathpro max (65opmax9033) 65 inch (165 cm) led 4k tv,thomson,oathpro max (65opmax9033) 6,65,39999,LED 4K,3840x2160,"Black,Other"
thomson 50opmax9077 50 inch (127 cm) led 4k tv,thomson,50opmax9077 5,50,26999,4K,3840x2160,Black
thomson 75 oathpro 2121 75 inch (190 cm) led 4k tv,thomson,75 oathpro 2121 7,75,77999,4K,3840x2160,Black
thomson 65 oathpro 2020 65 inch (165 cm) led 4k tv,thomson,65 oathpro 2020 6,65,53837,4K,3840x2160,Black
thomson 43 oathpro 2000 43 inch (109 cm) led 4k tv,thomson,43 oathpro 2000 4,43,21999,4K,3840x2160,Black
samsung ua43cue60ak 43 inch (109 cm) led 4k tv,samsung,ua43cue60ak 4,43,33990,4K,3840x2160,Black
samsung ua43aue60ak 43 inch (109 cm) led 4k tv,samsung,ua43aue60ak 4,43,33003,4K,3840x2160,Black
samsung ua50aue60ak 50 inch (127 cm) led 4k tv,samsung,ua50aue60ak 5,50,40490,4K,3840x2160,Black
samsung ua65cue60ak 65 inch (165 cm) led 4k tv,samsung,ua65cue60ak 6,65,69990,4K,3840x2160,Black
thomson alpha 40alpha009bl 40 inch (101 cm) led full hd tv,thomson,alpha 40alpha009bl 4,40,13999,Full HD,1920x1080,Black
vu 65pm 65 inch (165 cm) led 4k tv,vu,65pm 6,65,57999,4K,3840x2160,Black
lg 55ur7500psc 55 inch (139 cm) led 4k tv,lg,55ur7500psc 5,55,43990,4K,3840x2160,Black
lg 65ur7500psc 65 inch (165 cm) led 4k tv,lg,65ur7500psc 6,65,61990,4K,3840x2160,Black
lg 50ur7500psc 50 inch (127 cm) led 4k tv,lg,50ur7500psc 5,50,40990,4K,3840x2160,Black
lg 43uq7500psf 43 inch (109 cm) led 4k tv,lg,43uq7500psf 4,43,31990,4K,3840x2160,Black
xiaomi mi x pro (l55m8-5xin) 55 inch (139 cm) led 4k tv,xiaomi,mi x pro (l55m8-5xin) 5,55,47999,LED 4K,3840x2160,Silver
xiaomi mi tv 5x 50 inch (127 cm) led 4k tv,xiaomi,mi tv 5x 5,50,39999,4K,3840x2160,Grey
sony bravia kd-43x64l 43 inch (109 cm) led 4k tv,sony,bravia kd-43x64l 4,43,40999,4K,3840x2160,Black
sony bravia kd-55x74k 55 inch (139 cm) led 4k tv,sony,bravia kd-55x74k 5,55,54990,4K,3840x2160,Black
acer i series ar43ar2851udfl 43 inch (109 cm) led 4k tv,acer,i series ar43ar2851udfl 4,43,23999,4K,3840x2160,Black
