Brand,Model,Inches,Price,Price_Category,DisplayType,PPI,outlier_flag
Onida,nexg 65uig 6,65,45999,Mid-range,4K,67.78,0
Samsung,qa55qn90bak 5,55,184990,Premium,QLED 4K,80.11,1
Acer,ar43ap2851udfl 4,43,34990,Mid-range,4K,102.46,0
Dyanora,dy-ld32h2s 3,32,8299,Budget,HD-Ready,48.97,0
Candy,ca32c9 3,32,10990,Affordable,HD-Ready,48.97,0
Samsung,ua55bu8570u 5,55,78990,High-end,4K,80.11,0
Sansui,jsw32ashd 3,32,10999,Affordable,HD-Ready,48.97,0
Sony,bravia xr-55a80l 5,55,180490,Premium,4K,80.11,1
Sony,bravia xr-77a80l 7,77,446490,Luxury,4K,57.22,1
Samsung,ua43bu8570u 4,43,51990,Mid-range,4K,102.46,0
Samsung,qa65qn800ck 6,65,364990,Luxury,QLED 8K UHD,135.56,1
Samsung,qa75qn800bk 7,75,799990,Luxury,QLED 8K UHD,117.49,1
Samsung,qa43q60cak 4,43,62990,High-end,4K,102.46,0
Samsung,qa65ls03tak 6,65,138490,Premium,4K,67.78,0
Lg,oled55g2psa 5,55,144990,Premium,EVO 4K,80.11,0
Samsung,ua50cu8000k 5,50,55290,Mid-range,4K,88.12,0
Samsung,qa49ls01tak 4,49,89490,High-end,4K,89.91,0
Lg,32lk628bptf 3,32,21899,Affordable,HD-Ready,48.97,0
Candy,ca5560cqled 5,55,42990,Mid-range,4K,80.11,0
Kevin,kn32a1 3,32,7999,Budget,HD-Ready,48.97,0
Xiaomi,mi tv 4a pro 3,32,16989,Affordable,HD-Ready,48.97,0
Xiaomi,smart tv 5a 4,40,20999,Affordable,Full HD,55.07,0
Xiaomi,mi tv 4a pro 4,43,21499,Affordable,Full HD,51.23,0
Realme,smart tv x 3,32,12599,Affordable,HD-Ready,48.97,0
Samsung,ua32t4340ak 3,32,17490,Affordable,HD-Ready,48.97,0
Xiaomi,smart tv x series 5,50,34999,Mid-range,4K,88.12,0
Xiaomi,x series l43m8-a2in 4,43,28999,Affordable,4K,102.46,0
Xiaomi,x series l55m8-a2in 5,55,36999,Mid-range,4K,80.11,0
Xiaomi,smart tv x series 5,55,39999,Mid-range,4K,80.11,0
Thomson,fa series 40rt1033 4,40,14999,Affordable,Full HD,55.07,0
Thomson,40path7777 4,40,16999,Affordable,Full HD,55.07,0
Thomson,42path2121 4,42,15999,Affordable,Full HD,52.45,0
Thomson,43path0009 4,43,17999,Affordable,Full HD,51.23,0
Xiaomi,x series l65m8-a2in 6,65,59999,Mid-range,4K,67.78,0
Xiaomi,mi tv 4a horizon 3,32,16300,Affordable,HD-Ready,48.97,0
Xiaomi,mi tv 4a horizon 4,43,31999,Mid-range,Full HD,51.23,0
Thomson,40m4099 4,40,19999,Affordable,Full HD,55.07,0
Thomson,24tm2490 2,24,6299,Budget,HD-Ready,65.3,0
Thomson,32tm3290 3,32,7999,Budget,HD-Ready,48.97,0
Kodak,9xpro 439x5081 4,43,16999,Affordable,Full HD,51.23,0
Kodak,40fhdx7xpro 4,40,15999,Affordable,Full HD,55.07,0
Kodak,42fhdx7xpro 4,42,15999,Affordable,Full HD,52.45,0
Iffalcon,iff65u62 6,65,39999,Mid-range,4K,67.78,0
Samsung,crystal vision ua55cue70akl 5,55,46990,Mid-range,4K,80.11,0
Samsung,ua55aue65ak 5,55,42990,Mid-range,4K,80.11,0
Samsung,crystal vision ua65cue70akl 6,65,71990,High-end,4K,67.78,0
Iffalcon,iff40s53 4,40,14990,Affordable,Full HD,55.07,0
Kodak,32hdx7xpro 3,32,9499,Budget,HD-Ready,48.97,0
Samsung,ua65aue70ak 6,65,84490,High-end,4K,67.78,0
Samsung,ua58aue70ak 5,58,49990,Mid-range,4K,75.96,0
Samsung,ua50aue70ak 5,50,44490,Mid-range,4K,88.12,0
Kodak,9xpro 429x5071 4,42,15499,Affordable,Full HD,52.45,0
Acer,i series ar32ar2841hdfl 3,32,17999,Affordable,HD-Ready,48.97,0
Acer,i series ar50ar2851udfl 5,50,28999,Affordable,4K,88.12,0
Acer,i series ar55ar2851udfl 5,55,35999,Mid-range,4K,80.11,0
Realme,smart tv neo 3,32,13999,Affordable,HD-Ready,48.97,0
Xiaomi,a series l32m8-5ain 3,32,12499,Affordable,HD-Ready,48.97,0
Thomson,oathpro max (65opmax9033) 6,65,39999,Mid-range,LED 4K,67.78,0
Thomson,50opmax9077 5,50,26999,Affordable,4K,88.12,0
Thomson,75 oathpro 2121 7,75,77999,High-end,4K,58.74,0
Thomson,65 oathpro 2020 6,65,53837,Mid-range,4K,67.78,0
